tag-id,animal-id,animal-taxon,deploy-on-date,deploy-off-date,animal-sex
AG008,AG008,Loxodonta africana,2008-10-31 00:00:00.000,,m
AG013,AG013,Loxodonta africana,2008-10-31 00:00:00.000,,f
AG009,AG009,Loxodonta africana,2008-10-31 00:00:00.000,,m
AG010,AG010,Loxodonta africana,2008-10-31 00:00:00.000,,f
AG004,AG004,Loxodonta africana,2008-10-31 00:00:00.000,,m
AG005,AG005,Loxodonta africana,2008-10-31 00:00:00.000,,f
AG012,AG012,Loxodonta africana,2008-10-31 00:00:00.000,,f
AG006,AG006,Loxodonta africana,2008-10-31 00:00:00.000,,m
AG192,AG192,Loxodonta africana,2009-07-29 11:21:00.000,,f
AG193,AG193,Loxodonta africana,2009-07-31 07:20:00.000,,m
AG195,AG195,Loxodonta africana,2009-07-31 09:00:00.000,,m
AG190,AG190,Loxodonta africana,2009-07-31 15:00:00.000,,f
AG194,AG194,Loxodonta africana,2009-07-31 15:20:00.000,,m
AG191,AG191,Loxodonta africana,2009-08-16 23:00:00.000,,f
AG259,AG259,Loxodonta africana,2009-10-04 10:45:00.000,,m
AG260,AG260,Loxodonta africana,2009-10-04 11:45:00.000,,m
AG261,AG261,Loxodonta africana,2009-10-04 12:30:00.000,,m
AG262,AG262,Loxodonta africana,2009-10-04 15:30:00.000,,m
AG263,AG263,Loxodonta africana,2009-10-05 08:30:00.000,,m
AG267,AG267,Loxodonta africana,2009-10-05 13:30:00.000,,m
AG264,AG264,Loxodonta africana,2009-10-05 14:45:00.000,,m
AG265,AG265,Loxodonta africana,2009-10-05 15:30:00.000,,m
AG266,AG266,Loxodonta africana,2009-10-05 15:45:00.000,,m
AG268,AG268,Loxodonta africana,2009-10-06 14:30:00.000,,m
AG189,AG189,Loxodonta africana,2009-10-28 07:00:00.000,,f
MET4,MET4,Loxodonta africana,2010-07-02 13:04:00.000,,f
MET3,MET3,Loxodonta africana,2010-07-02 16:01:00.000,,f
MET5,MET5,Loxodonta africana,2010-07-02 16:07:00.000,,f
MET6,MET6,Loxodonta africana,2010-07-02 21:48:00.000,,f
MET7,MET7,Loxodonta africana,2010-07-03 11:34:00.000,,f
MET8,MET8,Loxodonta africana,2010-10-11 11:41:00.000,,u
MET9,MET9,Loxodonta africana,2010-10-11 23:03:00.000,,u
MET11,MET11,Loxodonta africana,2010-10-12 12:36:00.000,,u
MET14,MET14,Loxodonta africana,2010-10-13 11:28:00.000,,u
MET15,MET15,Loxodonta africana,2010-10-13 14:39:00.000,,u
MET16,MET16,Loxodonta africana,2010-10-14 17:29:00.000,,u
MET17,MET17,Loxodonta africana,2010-10-15 08:43:00.000,,u
MET10,MET10,Loxodonta africana,2010-10-16 01:17:00.000,,u
MET12,MET12,Loxodonta africana,2010-10-16 08:37:00.000,,u
MET13,MET13,Loxodonta africana,2010-10-16 13:25:00.000,,u
MET18,MET18,Loxodonta africana,2010-11-22 21:05:00.000,,m
MET22,MET22,Loxodonta africana,2010-11-23 10:54:00.000,,m
MET23,MET23,Loxodonta africana,2010-11-23 10:54:00.000,,m
MET19,MET19,Loxodonta africana,2010-11-23 12:26:00.000,,f
MET20,MET20,Loxodonta africana,2010-11-23 13:03:00.000,,f
MET21,MET21,Loxodonta africana,2010-11-23 13:52:00.000,,f
MET24,MET24,Loxodonta africana,2010-11-23 19:42:00.000,,m
MET25,MET25,Loxodonta africana,2010-11-24 11:48:00.000,,f
MET26,MET26,Loxodonta africana,2010-11-24 14:54:00.000,,f
MET27,MET27,Loxodonta africana,2010-11-24 15:17:00.000,,f
MET29,MET29,Loxodonta africana,2010-11-24 20:17:00.000,,m
MET30,MET30,Loxodonta africana,2010-11-24 21:39:00.000,,m
MET28,MET28,Loxodonta africana,2010-11-24 22:23:00.000,,f
MET32,MET32,Loxodonta africana,2010-11-25 11:41:00.000,,f
MET33,MET33,Loxodonta africana,2010-11-25 12:51:00.000,,f
MET31,MET31,Loxodonta africana,2010-11-25 17:41:00.000,,m
MET34,MET34,Loxodonta africana,2010-11-28 12:24:00.000,,f
MET35,MET35,Loxodonta africana,2010-11-28 13:37:00.000,,f
MET36,MET36,Loxodonta africana,2010-11-28 15:25:00.000,,m
MET38,MET38,Loxodonta africana,2010-12-08 12:10:00.000,,f
MET40,MET40,Loxodonta africana,2010-12-08 16:08:00.000,,m
MET39,MET39,Loxodonta africana,2010-12-08 16:45:00.000,,f
MET45,MET45,Loxodonta africana,2010-12-10 04:02:00.000,,f
MET41,MET41,Loxodonta africana,2010-12-10 12:05:00.000,,m
MET42,MET42,Loxodonta africana,2010-12-10 12:37:00.000,,f
MET43,MET43,Loxodonta africana,2010-12-10 12:37:00.000,,f
MET44,MET44,Loxodonta africana,2010-12-11 00:49:00.000,,m
MET46,MET46,Loxodonta africana,2010-12-11 10:00:00.000,,m
MET47,MET47,Loxodonta africana,2010-12-11 17:24:00.000,,f
METK2,METK2,Loxodonta africana,2012-09-15 17:21:00.000,,f
METK1,METK1,Loxodonta africana,2012-09-15 20:05:00.000,,f
Etosha1,Etosha1,Loxodonta africana,2013-06-02 00:34:00.000,,f
Etosha5,Etosha5,Loxodonta africana,2013-06-02 01:03:00.000,,f
Etosha3,Etosha3,Loxodonta africana,2013-06-02 01:42:00.000,,f
Etosha7,Etosha7,Loxodonta africana,2013-06-02 05:12:00.000,,f
Etosha6,Etosha6,Loxodonta africana,2013-06-02 05:24:00.000,,f
Etosha2,Etosha2,Loxodonta africana,2013-06-02 05:58:00.000,,f
Etosha4,Etosha4,Loxodonta africana,2013-06-02 08:01:00.000,,f
METK4,METK4,Loxodonta africana,2013-08-26 09:30:00.000,,f
METK3,METK3,Loxodonta africana,2013-08-26 09:45:00.000,,f
METK8,METK8,Loxodonta africana,2013-10-13 12:47:00.000,,f
METK6,METK6,Loxodonta africana,2013-10-13 12:55:00.000,,f
METK7,METK7,Loxodonta africana,2013-10-13 16:44:00.000,,f
METK10,METK10,Loxodonta africana,2013-10-13 19:21:00.000,,f
METK9,METK9,Loxodonta africana,2013-10-14 05:55:00.000,,f
METK5,METK5,Loxodonta africana,2013-10-15 07:51:00.000,,f
