event-id,visible,timestamp,location-long,location-lat,comments,gps:dop,sensor-type,individual-taxon-canonical-name,tag-local-identifier,individual-local-identifier,study-name
20659393821,true,2010-11-28 13:37:00.000,13.31098,-19.28573,"Hoanib",-9999.0,"gps","Loxodonta africana","MET35","MET35","African elephant - Namibia (Kilian)"
20659393882,true,2010-11-28 14:07:00.000,13.31132,-19.28555,"Hoanib",-9999.0,"gps","Loxodonta africana","MET35","MET35","African elephant - Namibia (Kilian)"
20659393933,true,2010-11-28 14:37:00.000,13.31138,-19.28572,"Hoanib",-9999.0,"gps","Loxodonta africana","MET35","MET35","African elephant - Namibia (Kilian)"
20659393994,true,2010-11-28 15:08:00.000,13.31068,-19.2858,"Hoanib",-9999.0,"gps","Loxodonta africana","MET35","MET35","African elephant - Namibia (Kilian)"
20659394105,true,2010-11-28 16:07:00.000,13.3114,-19.28547,"Hoanib",-9999.0,"gps","Loxodonta africana","MET35","MET35","African elephant - Namibia (Kilian)"
20659394160,true,2010-11-28 16:37:00.000,13.31135,-19.28543,"Hoanib",-9999.0,"gps","Loxodonta africana","MET35","MET35","African elephant - Namibia (Kilian)"
20659394225,true,2010-11-28 17:08:00.000,13.31257,-19.28508,"Hoanib",-9999.0,"gps","Loxodonta africana","MET35","MET35","African elephant - Namibia (Kilian)"
20659394280,true,2010-11-28 17:37:00.000,13.31325,-19.28497,"Hoanib",-9999.0,"gps","Loxodonta africana","MET35","MET35","African elephant - Namibia (Kilian)"
20659394347,true,2010-11-28 18:07:00.000,13.31385,-19.28507,"Hoanib",-9999.0,"gps","Loxodonta africana","MET35","MET35","African elephant - Namibia (Kilian)"
20659394402,true,2010-11-28 18:37:00.000,13.3154,-19.28463,"Hoanib",-9999.0,"gps","Loxodonta africana","MET35","MET35","African elephant - Namibia (Kilian)"
20659394470,true,2010-11-28 19:09:00.000,13.31878,-19.28322,"Hoanib",-9999.0,"gps","Loxodonta africana","MET35","MET35","African elephant - Namibia (Kilian)"
20659394524,true,2010-11-28 19:37:00.000,13.3198,-19.28195,"Hoanib",-9999.0,"gps","Loxodonta africana","MET35","MET35","African elephant - Namibia (Kilian)"
20659394591,true,2010-11-28 20:07:00.000,13.3213,-19.28078,"Hoanib",-9999.0,"gps","Loxodonta africana","MET35","MET35","African elephant - Namibia (Kilian)"
20659394647,true,2010-11-28 20:38:00.000,13.32583,-19.27742,"Hoanib",-9999.0,"gps","Loxodonta africana","MET35","MET35","African elephant - Namibia (Kilian)"
20659394713,true,2010-11-28 21:07:00.000,13.32678,-19.27257,"Hoanib",-9999.0,"gps","Loxodonta africana","MET35","MET35","African elephant - Namibia (Kilian)"
20659394769,true,2010-11-28 21:37:00.000,13.32718,-19.27028,"Hoanib",-9999.0,"gps","Loxodonta africana","MET35","MET35","African elephant - Namibia (Kilian)"
20659394835,true,2010-11-28 22:07:00.000,13.32742,-19.26842,"Hoanib",-9999.0,"gps","Loxodonta africana","MET35","MET35","African elephant - Namibia (Kilian)"
20659394890,true,2010-11-28 22:37:00.000,13.32808,-19.26673,"Hoanib",-9999.0,"gps","Loxodonta africana","MET35","MET35","African elephant - Namibia (Kilian)"
20659394956,true,2010-11-28 23:07:00.000,13.32763,-19.26538,"Hoanib",-9999.0,"gps","Loxodonta africana","MET35","MET35","African elephant - Namibia (Kilian)"
20659395009,true,2010-11-28 23:38:00.000,13.33117,-19.26065,"Hoanib",-9999.0,"gps","Loxodonta africana","MET35","MET35","African elephant - Namibia (Kilian)"
20659395071,true,2010-11-29 00:07:00.000,13.33138,-19.2604,"Hoanib",-9999.0,"gps","Loxodonta africana","MET35","MET35","African elephant - Namibia (Kilian)"
20659395123,true,2010-11-29 00:37:00.000,13.33158,-19.25983,"Hoanib",-9999.0,"gps","Loxodonta africana","MET35","MET35","African elephant - Namibia (Kilian)"
20659395188,true,2010-11-29 01:07:00.000,13.3314,-19.25978,"Hoanib",-9999.0,"gps","Loxodonta africana","MET35","MET35","African elephant - Namibia (Kilian)"
20659395310,true,2010-11-29 02:12:00.000,13.33342,-19.25668,"Hoanib",-9999.0,"gps","Loxodonta africana","MET35","MET35","African elephant - Namibia (Kilian)"
20659395368,true,2010-11-29 02:40:00.000,13.33345,-19.2546,"Hoanib",-9999.0,"gps","Loxodonta africana","MET35","MET35","African elephant - Namibia (Kilian)"
20659395429,true,2010-11-29 03:10:00.000,13.33353,-19.2546,"Hoanib",-9999.0,"gps","Loxodonta africana","MET35","MET35","African elephant - Namibia (Kilian)"
20659395545,true,2010-11-29 04:12:00.000,13.33393,-19.25402,"Hoanib",-9999.0,"gps","Loxodonta africana","MET35","MET35","African elephant - Namibia (Kilian)"
20659395607,true,2010-11-29 04:41:00.000,13.3339,-19.25397,"Hoanib",-9999.0,"gps","Loxodonta africana","MET35","MET35","African elephant - Namibia (Kilian)"
20659395658,true,2010-11-29 05:10:00.000,13.33383,-19.254,"Hoanib",-9999.0,"gps","Loxodonta africana","MET35","MET35","African elephant - Namibia (Kilian)"
20659395715,true,2010-11-29 05:40:00.000,13.33408,-19.25375,"Hoanib",-9999.0,"gps","Loxodonta africana","MET35","MET35","African elephant - Namibia (Kilian)"
20659395775,true,2010-11-29 06:11:00.000,13.33803,-19.24887,"Hoanib",-9999.0,"gps","Loxodonta africana","MET35","MET35","African elephant - Namibia (Kilian)"
20659395842,true,2010-11-29 06:41:00.000,13.34562,-19.24532,"Hoanib",-9999.0,"gps","Loxodonta africana","MET35","MET35","African elephant - Namibia (Kilian)"
20659395895,true,2010-11-29 07:10:00.000,13.35318,-19.2438,"Hoanib",-9999.0,"gps","Loxodonta africana","MET35","MET35","African elephant - Namibia (Kilian)"
20659395956,true,2010-11-29 07:40:00.000,13.36527,-19.24535,"Hoanib",-9999.0,"gps","Loxodonta africana","MET35","MET35","African elephant - Namibia (Kilian)"
20659396016,true,2010-11-29 08:11:00.000,13.3694,-19.23277,"Hoanib",-9999.0,"gps","Loxodonta africana","MET35","MET35","African elephant - Namibia (Kilian)"
20659396078,true,2010-11-29 08:40:00.000,13.36968,-19.23195,"Hoanib",-9999.0,"gps","Loxodonta africana","MET35","MET35","African elephant - Namibia (Kilian)"
20659396139,true,2010-11-29 09:10:00.000,13.36917,-19.23162,"Hoanib",-9999.0,"gps","Loxodonta africana","MET35","MET35","African elephant - Namibia (Kilian)"
20659396199,true,2010-11-29 09:40:00.000,13.36845,-19.23092,"Hoanib",-9999.0,"gps","Loxodonta africana","MET35","MET35","African elephant - Namibia (Kilian)"
20659396258,true,2010-11-29 10:11:00.000,13.3682,-19.23097,"Hoanib",-9999.0,"gps","Loxodonta africana","MET35","MET35","African elephant - Namibia (Kilian)"
20659396323,true,2010-11-29 10:41:00.000,13.36813,-19.23095,"Hoanib",-9999.0,"gps","Loxodonta africana","MET35","MET35","African elephant - Namibia (Kilian)"
20659396371,true,2010-11-29 11:11:00.000,13.36802,-19.23095,"Hoanib",-9999.0,"gps","Loxodonta africana","MET35","MET35","African elephant - Namibia (Kilian)"
20659396432,true,2010-11-29 11:41:00.000,13.36852,-19.23148,"Hoanib",-9999.0,"gps","Loxodonta africana","MET35","MET35","African elephant - Namibia (Kilian)"
20659396479,true,2010-11-29 12:10:00.000,13.36958,-19.23195,"Hoanib",-9999.0,"gps","Loxodonta africana","MET35","MET35","African elephant - Namibia (Kilian)"
20659396544,true,2010-11-29 12:41:00.000,13.36953,-19.232,"Hoanib",-9999.0,"gps","Loxodonta africana","MET35","MET35","African elephant - Namibia (Kilian)"
20659396592,true,2010-11-29 13:11:00.000,13.36957,-19.23195,"Hoanib",-9999.0,"gps","Loxodonta africana","MET35","MET35","African elephant - Namibia (Kilian)"
20659396655,true,2010-11-29 13:41:00.000,13.36842,-19.23228,"Hoanib",-9999.0,"gps","Loxodonta africana","MET35","MET35","African elephant - Namibia (Kilian)"
20659396706,true,2010-11-29 14:12:00.000,13.36812,-19.23258,"Hoanib",-9999.0,"gps","Loxodonta africana","MET35","MET35","African elephant - Namibia (Kilian)"
20659396771,true,2010-11-29 14:41:00.000,13.36802,-19.23262,"Hoanib",-9999.0,"gps","Loxodonta africana","MET35","MET35","African elephant - Namibia (Kilian)"
20659396818,true,2010-11-29 15:12:00.000,13.36803,-19.2326,"Hoanib",-9999.0,"gps","Loxodonta africana","MET35","MET35","African elephant - Namibia (Kilian)"
20659396886,true,2010-11-29 15:42:00.000,13.36802,-19.23262,"Hoanib",-9999.0,"gps","Loxodonta africana","MET35","MET35","African elephant - Namibia (Kilian)"
20659396939,true,2010-11-29 16:10:00.000,13.36817,-19.23252,"Hoanib",-9999.0,"gps","Loxodonta africana","MET35","MET35","African elephant - Namibia (Kilian)"
20659397010,true,2010-11-29 16:42:00.000,13.36827,-19.23247,"Hoanib",-9999.0,"gps","Loxodonta africana","MET35","MET35","African elephant - Namibia (Kilian)"
20659397064,true,2010-11-29 17:11:00.000,13.36847,-19.23242,"Hoanib",-9999.0,"gps","Loxodonta africana","MET35","MET35","African elephant - Namibia (Kilian)"
20659397132,true,2010-11-29 17:41:00.000,13.36902,-19.23328,"Hoanib",-9999.0,"gps","Loxodonta africana","MET35","MET35","African elephant - Namibia (Kilian)"
20659397186,true,2010-11-29 18:11:00.000,13.36805,-19.24377,"Hoanib",-9999.0,"gps","Loxodonta africana","MET35","MET35","African elephant - Namibia (Kilian)"
20659397256,true,2010-11-29 18:41:00.000,13.35918,-19.24597,"Hoanib",-9999.0,"gps","Loxodonta africana","MET35","MET35","African elephant - Namibia (Kilian)"
20659397308,true,2010-11-29 19:11:00.000,13.34678,-19.24642,"Hoanib",-9999.0,"gps","Loxodonta africana","MET35","MET35","African elephant - Namibia (Kilian)"
20659397375,true,2010-11-29 19:41:00.000,13.34117,-19.24545,"Hoanib",-9999.0,"gps","Loxodonta africana","MET35","MET35","African elephant - Namibia (Kilian)"
20659397543,true,2010-11-29 21:05:00.000,13.33307,-19.25188,"Hoanib",-9999.0,"gps","Loxodonta africana","MET35","MET35","African elephant - Namibia (Kilian)"
20659397597,true,2010-11-29 21:34:00.000,13.32855,-19.26022,"Hoanib",-9999.0,"gps","Loxodonta africana","MET35","MET35","African elephant - Namibia (Kilian)"
20659397662,true,2010-11-29 22:05:00.000,13.32667,-19.27118,"Hoanib",-9999.0,"gps","Loxodonta africana","MET35","MET35","African elephant - Namibia (Kilian)"
20659397716,true,2010-11-29 22:34:00.000,13.32332,-19.28058,"Hoanib",-9999.0,"gps","Loxodonta africana","MET35","MET35","African elephant - Namibia (Kilian)"
20659397781,true,2010-11-29 23:04:00.000,13.3163,-19.28603,"Hoanib",-9999.0,"gps","Loxodonta africana","MET35","MET35","African elephant - Namibia (Kilian)"
20659397839,true,2010-11-29 23:35:00.000,13.3117,-19.2866,"Hoanib",-9999.0,"gps","Loxodonta africana","MET35","MET35","African elephant - Namibia (Kilian)"
20659397906,true,2010-11-30 00:07:00.000,13.30425,-19.286,"Hoanib",-9999.0,"gps","Loxodonta africana","MET35","MET35","African elephant - Namibia (Kilian)"
20659397957,true,2010-11-30 00:34:00.000,13.30187,-19.28733,"Hoanib",-9999.0,"gps","Loxodonta africana","MET35","MET35","African elephant - Namibia (Kilian)"
20659398020,true,2010-11-30 01:04:00.000,13.30062,-19.2911,"Hoanib",-9999.0,"gps","Loxodonta africana","MET35","MET35","African elephant - Namibia (Kilian)"
20659398071,true,2010-11-30 01:34:00.000,13.30097,-19.29417,"Hoanib",-9999.0,"gps","Loxodonta africana","MET35","MET35","African elephant - Namibia (Kilian)"
20659398137,true,2010-11-30 02:05:00.000,13.30087,-19.29415,"Hoanib",-9999.0,"gps","Loxodonta africana","MET35","MET35","African elephant - Namibia (Kilian)"
20659398191,true,2010-11-30 02:34:00.000,13.30092,-19.29418,"Hoanib",-9999.0,"gps","Loxodonta africana","MET35","MET35","African elephant - Namibia (Kilian)"
20659398256,true,2010-11-30 03:03:00.000,13.30087,-19.29452,"Hoanib",-9999.0,"gps","Loxodonta africana","MET35","MET35","African elephant - Namibia (Kilian)"
20659398312,true,2010-11-30 03:35:00.000,13.29808,-19.29553,"Hoanib",-9999.0,"gps","Loxodonta africana","MET35","MET35","African elephant - Namibia (Kilian)"
20659398373,true,2010-11-30 04:03:00.000,13.29603,-19.29583,"Hoanib",-9999.0,"gps","Loxodonta africana","MET35","MET35","African elephant - Namibia (Kilian)"
20659398426,true,2010-11-30 04:33:00.000,13.29262,-19.29457,"Hoanib",-9999.0,"gps","Loxodonta africana","MET35","MET35","African elephant - Namibia (Kilian)"
20659398494,true,2010-11-30 05:03:00.000,13.28273,-19.29323,"Hoanib",-9999.0,"gps","Loxodonta africana","MET35","MET35","African elephant - Namibia (Kilian)"
20659398542,true,2010-11-30 05:33:00.000,13.27765,-19.29767,"Hoanib",-9999.0,"gps","Loxodonta africana","MET35","MET35","African elephant - Namibia (Kilian)"
